,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
59,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39420,2018-10-24,SCC_39420 - 2018-10-24,LIQUID,NET 30,Nofield,0.0,0.0,340.0,340.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29737,60,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
60,Advanced Metal Sales LLC,Advanced Metal Sales LLC,"21605 N 26th Ave
",,Phoenix,AZ,85027,SCC_39422,2018-10-25,SCC_39422 - 2018-10-25,LIQUID,NET 30,Nofield,0.0,0.0,4340.0,4340.0,Balance Due,SCC_4908,SCC_4908,Advanced Metal Sales LLC,,P,QuoteNo,SCC_29738,61,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
61,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39421,2018-10-26,SCC_39421 - 2018-10-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1495.65,1495.65,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29739,62,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
62,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39423,2018-10-29,SCC_39423 - 2018-10-29,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,280.0,280.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29740,63,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
63,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39424,2018-10-26,SCC_39424 - 2018-10-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1962.3,1962.3,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29741,64,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
64,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39426,2018-10-29,SCC_39426 - 2018-10-29,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,949.5,949.5,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29742,65,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
65,PCL Construction,PCL Construction,"
",,,  ,,SCC_39427,2018-11-03,SCC_39427 - 2018-11-03,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2230.0,2230.0,Balance Due,SCC_4904,SCC_4904,PCL Construction,2018-11-07 11:14:01.373,P,QuoteNo,SCC_29743,66,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
66,Alstate Steel,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_39428,2018-11-02,SCC_39428 - 2018-11-02,LIQUID,NET 30,Nofield,0.0,0.0,2382.5,2382.5,Balance Due,SCC_4912,SCC_4912,Alstate Steel,,P,QuoteNo,SCC_29744,67,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-29
67,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39429,2018-11-01,SCC_39429 - 2018-11-01,LIQUID,NET 30,Nofield,0.0,0.0,5841.0,5841.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2018-11-07 11:14:46.577,P,QuoteNo,SCC_29745,68,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
68,Alstate Steel,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_39430,2018-11-02,SCC_39430 - 2018-11-02,LIQUID,NET 30,Nofield,0.0,0.0,4818.0,4818.0,Balance Due,SCC_4912,SCC_4912,Alstate Steel,,P,QuoteNo,SCC_29746,69,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-29
69,Alstate Steel,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_39431,2018-11-02,SCC_39431 - 2018-11-02,LIQUID,NET 30,Nofield,0.0,0.0,1277.15,1277.15,Balance Due,SCC_4912,SCC_4912,Alstate Steel,2018-11-07 11:15:43.140,P,QuoteNo,SCC_29747,70,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-29
70,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39432,2018-11-05,SCC_39432 - 2018-11-05,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1250.0,1250.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29748,71,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
71,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39433,2018-11-07,SCC_39433 - 2018-11-07,LIQUID,NET 30,Nofield,0.0,0.0,2167.0,2167.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29749,72,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
72,Alstate Steel,Alstate Steel,"5343 Mohave Street
",,Phoenix,AZ,85043,SCC_39435,2018-11-02,SCC_39435 - 2018-11-02,LIQUID,NET 30,Nofield,0.0,0.0,6865.85,6865.85,Balance Due,SCC_4912,SCC_4912,Alstate Steel,,P,QuoteNo,SCC_29750,73,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-04-29
73,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39434,2018-11-05,SCC_39434 - 2018-11-05,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,438.0,438.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29751,74,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
74,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,"
",,,  ,,SCC_39436,2018-11-10,SCC_39436 - 2018-11-10,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,900.0,900.0,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,2018-11-13 14:10:06.807,P,QuoteNo,SCC_29752,75,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
75,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39437,2018-11-09,SCC_39437 - 2018-11-09,LIQUID,NET 30,Nofield,0.0,0.0,1850.0,1850.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29753,76,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
76,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39438,2018-11-09,SCC_39438 - 2018-11-09,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,700.0,700.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29754,77,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
77,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39439,2018-11-08,SCC_39439 - 2018-11-08,LIQUID,NET 30,Nofield,0.0,0.0,9800.0,9800.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29755,78,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
78,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39497CR,2018-11-13,SCC_39497CR - 2018-11-13,LIQUID,NET 30,Nofield,0.0,0.0,-3508.5,-3508.5,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29756,79,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
79,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39440,2018-11-14,SCC_39440 - 2018-11-14,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,6287.1,6287.1,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29757,80,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
80,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39442,2018-11-12,SCC_39442 - 2018-11-12,LIQUID,NET 30,Nofield,0.0,0.0,700.0,700.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29758,81,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
81,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39441,2018-11-13,SCC_39441 - 2018-11-13,LIQUID,NET 30,Nofield,0.0,0.0,9450.0,9450.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29759,82,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
82,PCL Construction,PCL Construction,"
",,,  ,,SCC_39443,2018-11-19,SCC_39443 - 2018-11-19,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,9878.0,9878.0,Balance Due,SCC_4904,SCC_4904,PCL Construction,,P,QuoteNo,SCC_29760,83,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
83,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39444,2018-11-19,SCC_39444 - 2018-11-19,LIQUID,NET 30,Nofield,0.0,0.0,864.0,864.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29764,84,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
84,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39408,2018-10-09,SCC_39408 - 2018-10-09,LIQUID,NET 30,Nofield,0.0,0.0,1370.0,1370.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29767,85,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
85,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39398,2018-09-27,SCC_39398 - 2018-09-27,LIQUID,NET 30,Nofield,0.0,0.0,75.0,75.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29768,86,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
86,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39445,2018-11-16,SCC_39445 - 2018-11-16,LIQUID,NET 30,Nofield,0.0,0.0,938.0,938.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29769,87,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
87,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39449,2018-11-19,SCC_39449 - 2018-11-19,LIQUID,NET 30,Nofield,0.0,0.0,1710.0,1710.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,2018-11-20 16:20:41.213,P,QuoteNo,SCC_29770,88,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
88,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39446,2018-11-19,SCC_39446 - 2018-11-19,LIQUID,NET 30,Nofield,0.0,0.0,1260.0,1260.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29771,89,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
89,Schuff Steel,Schuff Steel,"4320 E. Presidio St. Suite 111
",,Mesa,AZ,85215,SCC_39448,2018-11-16,SCC_39448 - 2018-11-16,LIQUID,NET 30,Nofield,0.0,0.0,6690.0,6690.0,Balance Due,SCC_4907,SCC_4907,Schuff Steel,,P,QuoteNo,SCC_29772,90,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
90,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39450,2018-11-26,SCC_39450 - 2018-11-26,LIQUID,NET 30,Nofield,0.0,0.0,7410.0,7410.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29773,91,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
91,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39451,2018-11-21,SCC_39451 - 2018-11-21,LIQUID,NET 30,Nofield,0.0,0.0,5394.35,5394.35,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29774,92,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
92,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39452,2018-11-21,SCC_39452 - 2018-11-21,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,5718.1,5718.1,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29775,93,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
93,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39453,2018-11-21,SCC_39453 - 2018-11-21,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29776,94,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
94,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39454,2018-11-26,SCC_39454 - 2018-11-26,LIQUID,NET 30,Nofield,0.0,0.0,1800.0,1800.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29777,95,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
95,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39455,2018-11-26,SCC_39455 - 2018-11-26,LIQUID,NET 30,Nofield,0.0,0.0,4275.0,4275.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29778,96,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
96,YELLOW JACKET DRILLING,YELLOW JACKET DRILLING,"P.O. BOX 801
",,Gilbert,AZ,85299,SCC_39456,2018-11-24,SCC_39456 - 2018-11-24,LIQUID,NET 30,Nofield,0.0,0.0,694.0,694.0,Balance Due,SCC_4915,SCC_4915,YELLOW JACKET DRILLING,,P,QuoteNo,SCC_29779,97,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
97,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39457,2018-11-26,SCC_39457 - 2018-11-26,LIQUID,NET 30,Nofield,0.0,0.0,220.0,220.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29780,98,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
98,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39458,2018-11-22,SCC_39458 - 2018-11-22,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,300.0,300.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,2018-11-27 16:10:20.847,P,QuoteNo,SCC_29781,99,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
99,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39459,2018-11-26,SCC_39459 - 2018-11-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1800.0,1800.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29782,100,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
100,Mountainscapers LLC.,Mountainscapers LLC.,"1312 E. Kaler Drive
",,Phoenix,AZ,85020,SCC_39460,2018-11-22,SCC_39460 - 2018-11-22,LIQUID,NET 30,Nofield,0.0,0.0,470.0,470.0,Balance Due,SCC_4902,SCC_4902,Mountainscapers LLC.,,P,QuoteNo,SCC_29783,101,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
101,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39461,2018-11-26,SCC_39461 - 2018-11-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1800.0,1800.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29784,102,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
102,PCL Construction,PCL Construction,"
",,,  ,,SCC_39447,2018-11-19,SCC_39447 - 2018-11-19,LIQUID,NET 30,Nofield,0.0,0.0,5121.69,5121.69,Balance Due,SCC_4904,SCC_4904,PCL Construction,,P,QuoteNo,SCC_29785,103,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
103,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39470,2018-12-01,SCC_39470 - 2018-12-01,LIQUID,NET 30,Nofield,0.0,0.0,8050.0,8050.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29786,104,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
104,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39469,2018-11-30,SCC_39469 - 2018-11-30,LIQUID,NET 30,Nofield,0.0,0.0,962.0,962.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29787,105,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
105,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39467,2018-11-28,SCC_39467 - 2018-11-28,LIQUID,NET 30,Nofield,0.0,0.0,3150.0,3150.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29788,106,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
106,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39466,2018-11-28,SCC_39466 - 2018-11-28,LIQUID,NET 30,Nofield,0.0,0.0,2450.0,2450.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29789,107,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
107,CAPITOL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39465,2018-11-28,SCC_39465 - 2018-11-28,BLAST,DUE ON RECEI,Nofield,0.0,0.0,840.0,840.0,Balance Due,SCC_4900,SCC_4900,CAPITOL ENGINEERING CO,,P,QuoteNo,SCC_29790,108,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
108,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39464,2018-11-29,SCC_39464 - 2018-11-29,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29791,109,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
109,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39463,2018-11-29,SCC_39463 - 2018-11-29,LIQUID,NET 30,Nofield,0.0,0.0,9030.0,9030.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29792,110,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
110,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39462,2018-11-28,SCC_39462 - 2018-11-28,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,550.0,550.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29793,111,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
111,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39468,2018-11-29,SCC_39468 - 2018-11-29,LIQUID,NET 30,Nofield,0.0,0.0,645.0,645.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29794,112,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
112,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39471,2018-12-04,SCC_39471 - 2018-12-04,LIQUID,NET 30,Nofield,0.0,0.0,1750.0,1750.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29795,113,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
113,Pump System AZ,Pump System AZ,"
",,,  ,,SCC_39472,2018-12-03,SCC_39472 - 2018-12-03,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1390.0,1390.0,Balance Due,SCC_4918,SCC_4918,Pump System AZ,,P,QuoteNo,SCC_29796,114,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
114,4K Painting & Trim,4K Painting & Trim,"
",,,  ,,SCC_39473,2018-12-06,SCC_39473 - 2018-12-06,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,9000.0,9000.0,Balance Due,SCC_4919,SCC_4919,4K Painting & Trim,,P,QuoteNo,SCC_29797,115,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
115,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39474,2018-12-04,SCC_39474 - 2018-12-04,LIQUID,NET 30,Nofield,0.0,0.0,672.95,672.95,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29798,116,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
116,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39477,2018-12-05,SCC_39477 - 2018-12-05,LIQUID,NET 30,Nofield,0.0,0.0,25909.65,25909.65,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29799,117,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
117,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39475,2018-12-04,SCC_39475 - 2018-12-04,LIQUID,NET 30,Nofield,0.0,0.0,7642.0,7642.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29800,118,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
118,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39476,2018-12-05,SCC_39476 - 2018-12-05,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29801,119,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
119,YELLOW JACKET DRILLING,YELLOW JACKET DRILLING,"P.O. BOX 801
",,Gilbert,AZ,85299,SCC_39478,2018-12-04,SCC_39478 - 2018-12-04,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,771.25,771.25,Balance Due,SCC_4915,SCC_4915,YELLOW JACKET DRILLING,,P,QuoteNo,SCC_29802,120,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
120,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39544CR,2018-12-01,SCC_39544CR - 2018-12-01,LIQUID,NET 30,Nofield,0.0,0.0,-32900.0,-32900.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29803,121,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
121,Tenshon,Tenshon,"8743 E. Pecos Rd. Suite #122
",,Mesa,AZ,85212,SCC_39545-MJ,2018-12-01,SCC_39545-MJ - 2018-12-01,LIQUID,NET 30,Nofield,0.0,0.0,31220.0,31220.0,Balance Due,SCC_4914,SCC_4914,Tenshon,,P,QuoteNo,SCC_29804,122,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
122,DESERT COATING SOLUTION LLC,DESERT COATING SOLUTION LLC,"
",,,  ,,SCC_39479,2018-12-11,SCC_39479 - 2018-12-11,BLAST,DUE ON RECEI,Nofield,0.0,0.0,600.0,600.0,Balance Due,SCC_4916,SCC_4916,DESERT COATING SOLUTION LLC,,P,QuoteNo,SCC_29805,123,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
123,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39488,2018-12-14,SCC_39488 - 2018-12-14,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29806,124,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
124,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39487,2018-12-14,SCC_39487 - 2018-12-14,LIQUID,NET 30,Nofield,0.0,0.0,16043.3,16043.3,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29807,125,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
125,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39486,2018-12-14,SCC_39486 - 2018-12-14,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29808,126,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
126,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39485,2018-12-14,SCC_39485 - 2018-12-14,LIQUID,NET 30,Nofield,0.0,0.0,0.0,0.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29809,127,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
