Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11567,3,PRO-CRYL 5GL SHERWIN,5.0,0.0,,,12458,EXP,"Sherwin Williams Water Based Primer Acrylic.  Good for Galvanized or rust area
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,",DCS_11567,DCS_12458,POWDER,11552,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11568,4,HI-SOLIDS POLY SG SHERWIN,5.0,0.0,,,12458,EXP,"Sherwin Williams Hi-Solids Polyurethane 100 Semi-Gloss 
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,Part S B65-350  
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,Color",DCS_11568,DCS_12458,POWDER,11553,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11569,1,96X48 ALUMN. SCREEN,550.0,96.0,,,12459,EXP,Pretreat & Top Coat,DCS_11569,DCS_12459,DUMMY,11554,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11570,3,POWDER ORDER,1800.0,25.0,,,12459,EXP,"AAMA 2605 Ten Year Warranty Powder 
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,(Color to be Determined)",DCS_11570,DCS_12459,DUMMY,11555,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11571,1,REAR BUMPER,1.0,140.0,,,12460,EXP,Rear Bumper Assembly Toyota 4Runner Offroad,DCS_11571,DCS_12460,DUMMY,11556,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12640 not found for field E2_Quote_Key__c in entity Opportunity:--,11572,2,EPA,1.0,7.0,,,12460,EXP,,DCS_11572,DCS_12460,DUMMY,11557,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12641 not found for field E2_Quote_Key__c in entity Opportunity:--,11573,1,SOLID DOOR GALVALUME 146X96,4.0,195.0,51771-01,,12461,WON,Clean & Shoot,DCS_11573,DCS_12461,DUMMY,11558,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12641 not found for field E2_Quote_Key__c in entity Opportunity:--,11574,2,SOLID DOOR 8'X6',2.0,96.0,51771-02,,12461,WON,Clean & Shoot,DCS_11574,DCS_12461,DUMMY,11559,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12641 not found for field E2_Quote_Key__c in entity Opportunity:--,11575,3,EPA,1.0,48.6,51771-03,,12461,WON,,DCS_11575,DCS_12461,DUMMY,11560,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_12641 not found for field E2_Quote_Key__c in entity Opportunity:--,11576,4,RAL 3009 AXALTA,25.0,0.0,51771-04,,12461,WON,Axalta Ral 3009 Red Oxide Polyester HFRR05S8 25 pound box PMS 181,DCS_11576,DCS_12461,DUMMY,11561,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
